Month,C_BRDF,R_BRDF,I_BRDF,A_BRDF,M_BRDF,N_BRDF,province,m,C_BRDF_R,R_BRDF_R,I_BRDF_R,A_BRDF_R,M_BRDF_R,N_BRDF_R
2019-08-01,16.767516450496707,32.13239118473312,26.27919598709057,38.22748372221364,20.994844424381395,12.612712376827686,上海,8,94.55148477875524,104.73204667135299,94.14037229711609,102.23875870862753,106.6584332584012,98.3950484707437
2019-09-01,18.35506365774554,34.345816301112094,27.593756490128847,40.265394408462086,22.394837186846964,13.11448579342542,上海,9,98.35839762050799,108.59426561241894,97.33933209001215,104.62364306232874,109.73426251953182,100.8098983037292
2019-10-01,17.821177900312584,33.51084928303605,26.23312770315242,38.94843313060535,21.02202209417481,13.011107276747712,上海,10,91.32079524964368,100.81829860982012,88.19563498575178,96.89245732858632,99.10040149361883,94.22831380552171
2019-11-01,18.44729073411377,34.9629185844336,27.952723174222324,40.681798272451935,22.289271787887703,13.650779990641096,上海,11,94.02187176517135,104.69372914577568,93.07944334588353,99.3946700190936,103.69709439707164,98.5095698080548
2019-12-01,19.406731842231764,37.093349657642754,29.631423011803427,42.69460712393599,23.75805545301137,14.381152554807464,上海,12,94.78068492295803,106.04789198677867,95.58206729105777,101.21780192823675,106.51795286539863,100.27245952097954
2020-01-01,17.94407206109047,34.509772934107446,26.823371003340224,39.58368864263995,20.04543948968308,13.004540304162424,上海,1,93.98703916453628,104.84000641372262,92.88252097489156,101.52251863747624,96.53064042137373,95.16693445208713
2020-02-01,16.859898111389477,33.02941149887682,26.24038709424248,36.67746576644922,19.45893381246986,13.06944975522817,上海,2,91.47036929389208,104.3688327123843,95.72403547377478,99.43161171126556,97.56095071023167,98.05001526631851
2020-03-01,17.681335006928403,34.31005358870755,27.37124582256195,38.904133053785095,20.45831945278384,13.33066447819154,上海,3,90.77352501713311,102.86149500346065,95.64887602954764,99.77746887765157,96.2868249544877,95.40003621469586
2020-04-01,18.002059945021745,35.06830660304712,27.69596787343885,38.81218885022474,20.77256109190818,13.315729922805144,上海,4,94.14991800281081,105.32735877558498,97.16190029258442,98.97519635656899,98.59292975397223,95.57787773080803
2020-05-01,16.72739179027734,31.297816167790547,24.191486685126023,34.41216111728456,18.82577753012829,12.483647686129162,上海,5,91.28720742658264,99.67374536546592,89.37691098858161,92.30132300845409,93.25162664530701,94.05783334761676
2020-06-01,14.01790485058753,26.50848776956692,21.48324166942118,30.8961754106168,15.403755698005453,10.495176497835384,上海,6,82.76458343632818,91.46026542869498,83.63112661421324,88.19864806283636,83.85948433153007,85.25150301775798
2020-07-01,14.987319554986987,29.10627715079899,22.711467836908344,33.944471824238015,16.972695027340148,11.275961399897474,上海,7,86.36130992798489,97.66283614225529,83.10694703788856,92.41834454519508,87.67630397280182,88.86867690800257
2020-08-01,17.95193814962832,34.62830313958545,29.011260915442502,39.50164908788358,20.22929572625062,12.80513353827145,上海,8,101.23040056140549,112.86720119005497,103.92749096015628,105.64649243031951,102.76927727919261,99.89617597935482
