2018-12-12,24,107
2018-12-13,24,98
2018-12-14,24,97
2018-12-15,12,66
2018-12-16,12,58
2018-12-17,24,63
2018-12-18,24,51
2018-12-19,24,67
2018-12-20,24,89
2018-12-21,24,92
2018-12-22,12,57
2018-12-23,12,60
2018-12-24,24,90
2018-12-25,24,91
2018-12-26,24,91
2018-12-27,24,103
2018-12-28,24,95
2018-12-29,12,50
2018-12-30,8,45
2018-12-31,8,28
2019-01-01,8,27
2019-01-02,20,59
2019-01-03,20,85
2019-01-04,20,73
2019-01-05,8,40
2019-01-06,8,33
2019-01-07,20,85
2019-01-08,20,93
2019-01-09,20,86
2019-01-10,20,88
2019-01-11,20,78
2019-01-12,8,43
2019-01-13,8,38
2019-01-14,20,78
2019-01-15,20,93
2019-01-16,20,92
2019-01-17,20,98
2019-01-18,20,93
2019-01-19,8,34
2019-01-20,8,35
2019-01-21,20,93
2019-01-22,20,105
2019-01-23,20,98
2019-01-24,20,83
2019-01-25,20,93
2019-01-26,8,41
2019-01-27,8,40
2019-01-28,20,82
2019-01-29,20,106
2019-01-30,20,99
2019-01-31,20,109
2019-02-01,20,74
2019-02-02,8,36
2019-02-03,8,44
2019-02-04,8,30
2019-02-05,8,24
2019-02-06,8,30
2019-02-07,8,33
2019-02-08,8,26
2019-02-09,8,26
2019-02-10,8,25
2019-02-11,20,87
2019-02-12,20,104
2019-02-13,20,98
2019-02-14,20,115
2019-02-15,20,99
2019-02-16,8,43
2019-02-17,8,43
2019-02-18,20,100
2019-02-19,20,96
2019-02-20,20,99
2019-02-21,20,107
2019-02-22,20,86
2019-02-23,8,37
2019-02-24,8,38
2019-02-25,20,95
2019-02-26,20,105
2019-02-27,20,96
2019-02-28,20,88
2019-03-01,20,80
2019-03-02,8,41
2019-03-03,8,25
2019-03-04,20,72
2019-03-05,20,92
2019-03-06,20,53
2019-03-07,20,79
2019-03-08,20,86
2019-03-09,8,29
2019-03-10,8,41
2019-03-11,20,86
2019-03-12,20,102
2019-03-13,20,89
2019-03-14,20,74
2019-03-15,20,101
2019-03-16,12,30
2019-03-17,8,38
2019-03-18,20,67
2019-03-19,20,96
2019-03-20,20,109
2019-03-21,20,101
2019-03-22,20,100
2019-03-23,8,51
2019-03-24,8,42
2019-03-25,20,100
2019-03-26,20,110
2019-03-27,20,97
2019-03-28,20,95
